GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC65,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more"
HC01_MOE_VC65,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more"
HC01_EST_VC66,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999"
HC01_MOE_VC66,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999"
HC01_EST_VC67,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - Less than 20 percent"
HC01_MOE_VC67,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - Less than 20 percent"
HC01_EST_VC68,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 20 to 29 percent"
HC01_MOE_VC68,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 20 to 29 percent"
HC01_EST_VC69,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more"
HC01_MOE_VC69,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more"
HC01_EST_VC70,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more"
HC01_MOE_VC70,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more"
HC01_EST_VC71,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - Less than 20 percent"
HC01_MOE_VC71,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - Less than 20 percent"
HC01_EST_VC72,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 20 to 29 percent"
HC01_MOE_VC72,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 20 to 29 percent"
HC01_EST_VC73,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more"
HC01_MOE_VC73,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more"
HC01_EST_VC74,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - Zero or negative income"
HC01_MOE_VC74,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - Zero or negative income"
HC01_EST_VC77,Owner-occupied housing units with a mortgage; Estimate; REAL ESTATE TAXES - Less than $800
HC01_MOE_VC77,Owner-occupied housing units with a mortgage; Margin of Error; REAL ESTATE TAXES - Less than $800
HC01_EST_VC78,"Owner-occupied housing units with a mortgage; Estimate; REAL ESTATE TAXES - $800 to $1,499"
HC01_MOE_VC78,"Owner-occupied housing units with a mortgage; Margin of Error; REAL ESTATE TAXES - $800 to $1,499"
HC01_EST_VC79,"Owner-occupied housing units with a mortgage; Estimate; REAL ESTATE TAXES - $1,500 or more"
HC01_MOE_VC79,"Owner-occupied housing units with a mortgage; Margin of Error; REAL ESTATE TAXES - $1,500 or more"
HC01_EST_VC80,Owner-occupied housing units with a mortgage; Estimate; REAL ESTATE TAXES - No real estate taxes paid
HC01_MOE_VC80,Owner-occupied housing units with a mortgage; Margin of Error; REAL ESTATE TAXES - No real estate taxes paid
HC01_EST_VC81,Owner-occupied housing units with a mortgage; Estimate; REAL ESTATE TAXES - Median (dollars)
HC01_MOE_VC81,Owner-occupied housing units with a mortgage; Margin of Error; REAL ESTATE TAXES - Median (dollars)
HC01_EST_VC84,Owner-occupied housing units with a mortgage; Estimate; PERCENT IMPUTED - Mortgage status
HC01_MOE_VC84,Owner-occupied housing units with a mortgage; Margin of Error; PERCENT IMPUTED - Mortgage status
