"State","County","Year","Beach Id","Beach Name","Beach Status","Reported","Station ID","Activity ID","Action Type","ActionStartDate","ActionEndDate","ActionDuration Days","Percentage oftime beachwas affectedduring open hours","Time affected(in hours)","Time beachis open(in hours)","Action Reasons","Action ReasonsComment","Action Indicator","Action IndicatorComment","Action Possible Source","Action PossibleSourceComment"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476743","Rain Advisory","06-JUN-16","06-JUN-16","1","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476744","Rain Advisory","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476745","Rain Advisory","26-JUL-16","26-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476745","Rain Advisory","26-JUL-16","26-JUL-16","1","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476746","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476746","Rain Advisory","29-JUL-16","30-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
"NY","BRONX","2016","NY582799","DANISH AMERICAN BEACH CLUB","No advisory or closure","Y","21NYBCH|NY582799-01","476744","Rain Advisory","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY352572","DAVENPORT CLUB","No advisory or closure","Y","21NYBCH|NY352572-01","476519","Closure","29-JUL-16","31-JUL-16","2","100","24","24","SEWAGE","-","PREEMPT","-","RUNOFF","-"
"NY","WESTCHESTER","2016","NY352572","DAVENPORT CLUB","No advisory or closure","Y","21NYBCH|NY352572-01","476517","Closure","28-JUN-16","01-JUL-16","3","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","WESTCHESTER","2016","NY352572","DAVENPORT CLUB","No advisory or closure","Y","21NYBCH|NY352572-01","476518","Closure","05-JUL-16","06-JUL-16","2","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476938","Contamination Advisory","09-JUN-16","15-JUN-16","7","100","24","24","ELEV_BACT","-","ENTERO","-","STORM","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476938","Contamination Advisory","09-JUN-16","15-JUN-16","7","100","24","24","ELEV_BACT","-","ENTERO","-","SEPTIC","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476939","Contamination Advisory","23-JUN-16","29-JUN-16","7","100","24","24","ELEV_BACT","-","ENTERO","-","SEPTIC","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476939","Contamination Advisory","23-JUN-16","29-JUN-16","7","100","24","24","ELEV_BACT","-","ENTERO","-","STORM","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476939","Contamination Advisory","23-JUN-16","29-JUN-16","7","100","24","24","ELEV_BACT","-","ENTERO","-","CSO","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476940","Rain Advisory","05-JUL-16","07-JUL-16","3","100","24","24","RAINFALL","-","PREEMPT","-","SEPTIC","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476940","Rain Advisory","05-JUL-16","07-JUL-16","3","100","24","24","RAINFALL","-","PREEMPT","-","STORM","-"
"NY","QUEENS","2016","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","No advisory or closure","Y","21NYBCH|NY888426-01","476940","Rain Advisory","05-JUL-16","07-JUL-16","3","100","24","24","RAINFALL","-","PREEMPT","-","CSO","-"
